order_id,created_at,event,customer_email,customer_first_name,customer_last_name,customer_phone,customer_country,customer_state,product_id,product_name,product_niche,quantity,price_usd,payment_method,payment_gateway,payment_status,funnel_source,utm_campaign
ORD-2026-10000,2026-02-09T10:37:27Z,order.approved,thomas.johnsongmail.com,Thomas,Johnson,,AU,,PROD-003,Gluco Control,blood_sugar,3,99,credit_card,cartpanda,approved,organic,fb_glucocontrol_quiz_cold
ORD-2026-10001,2026-02-05T12:13:48Z,order.approved,debra.allen@hotmail.com,Debra,Allen,+15525437923,US,TX,PROD-004,Mens Growth,male_enhancement,3,69,paypal,cartpanda,approved,facebook_ads,ggl_mensgrowth_vsl_lookalike
ORD-2026-10002,2026-02-02T15:55:06Z,order.approved,ashley.phillips@email.com,Ashley,Phillips,+447464766563,GB,,PROD-003,Gluco Control,blood_sugar,3,59,credit_card,cartpanda,approved,tiktok_ads,ggl_glucocontrol_quiz_retarget
ORD-2026-10003,2026-02-09T15:43:20Z,order.pending,maria.roberts30@outlook.com,Maria,Roberts,+447274169403,GB,,PROD-002,Memory Lift,memory,3,97,credit_card,cartpanda,declined,tiktok_ads,ggl_memorylift_quiz_retarget
ORD-2026-10004,2026-02-10T21:57:37Z,order.approved,gary_campbell1984@outlook.com,Gary,Campbell,+12931790481,US,NY,PROD-002,Memory Lift,memory,3,97,credit_card,digistore,approved,email_campaign,ggl_memorylift_vsl_retarget
ORD-2026-10005,2026-02-06T04:21:07Z,order.approved,jacob_roberts@icloud.com,Jacob,Roberts,+1800612ABCD,US,IL,PROD-005,Joint Flex,joint_health,3,49,credit_card,cartpanda,approved,tiktok_ads,ggl_jointflex_quiz_cold
ORD-2026-10006,2026-02-05T15:03:15Z,order.approved,elizabeth.robinson@mail.com,Elizabeth,Robinson,,NZ,,PROD-002,Memory Lift,memory,1,147,pix,cartpanda,approved,email_campaign,ggl_memorylift_vsl_retarget
ORD-2026-10007,2026-02-09T22:07:15Z,order.approved,christine.roberts1980@aol.com,Christine,Roberts,+14354694634,US,CA,PROD-002,Memory Lift,memory,3,147,credit_card,digistore,approved,facebook_ads,ggl_memorylift_vsl_cold
ORD-2026-10008,2026-02-11T02:30:15Z,order.approved,jason_jones@icloud.com,Jason,Jones,+16416944126,US,AZ,PROD-002,Memory Lift,memory,3,294,credit_card,cartpanda,pending,facebook_ads,fb_memorylift_vsl_retarget
ORD-2026-10009,2026-02-02T22:51:55Z,order.approved,ruth.millergmail.com,Ruth,Miller,+12511247595,US,FL,PROD-002,Memory Lift,memory,3,294,pix,cartpanda,approved,email_campaign,ggl_memorylift_advertorial_cold
ORD-2026-10010,2026-02-08T06:46:50Z,order.approved,amandabrown@yahoo.com,Amanda,Brown,+15034652414,US,TX,PROD-004,Mens Growth,male_enhancement,1,249,credit_card,digistore,approved,facebook_ads,ggl_mensgrowth_vsl_cold
ORD-2026-10011,2026-02-04T20:07:56Z,order.approved,helen.adams@aol.com,Helen,Adams,,US,AZ,PROD-002,Memory Lift,memory,1,49,credit_card,cartpanda,approved,organic,ggl_memorylift_advertorial_cold
